UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Rio Grande do Sul,Sul,2007,58825,108466,263385492,485882222,,
Mato Grosso do Sul,Centro Oeste,2007,18955,50168,84981456,224997957,,
Mato Grosso,Centro Oeste,2007,29952,62172,134231624,278633928,,
Goiás,Centro Oeste,2007,45063,95412,202090411,427953355,,
Distrito Federal,Centro Oeste,2007,15775,30306,70633646,135781744,,
Rondônia,Norte,2008,16325,28842,80093673,141523207,,
Acre,Norte,2008,9902,13985,48486462,68523926,,
Amazonas,Norte,2008,35243,60643,173009608,297752756,,
Roraíma,Norte,2008,4322,6532,21229060,32082112,,
Pará,Norte,2008,68782,128451,337640480,630652823,,
Amapá,Norte,2008,6603,14294,32392348,70160146,,
Tocantins,Norte,2008,14322,27692,70273901,135909749,,
Maranhão,Nordeste,2008,65934,136357,323554801,669396476,,
Piauí,Nordeste,2008,25506,37200,125151387,182545664,,
Ceará,Nordeste,2008,84520,140563,414195986,689130678,,
Rio Grande do Norte,Nordeste,2008,32464,45495,159014406,222926423,,
Paraíba,Nordeste,2008,42396,66206,207661051,324272704,,
Pernambuco,Nordeste,2008,113939,199114,558310901,976266527,,
Alagoas,Nordeste,2008,43426,72789,213186569,357267084,,
Sergipe,Nordeste,2008,21684,32954,106159159,161375975,,
Bahia,Nordeste,2008,140306,273046,687982372,1339326205,,
Minas Gerais,Sudeste,2008,159185,287903,779918322,1411323370,,
Espírito Santo,Sudeste,2008,22447,41877,109977714,205278324,,
Rio de Janeiro,Sudeste,2008,62276,178787,305559732,877617604,,
São Paulo,Sudeste,2008,199085,461611,975802366,2264197221,,
Paraná,Sul,2008,73235,138558,359398474,680096020,,
Santa Catarina,Sul,2008,25604,40875,125609861,200522269,,
Rio Grande do Sul,Sul,2008,65621,120710,321446341,591588529,,
Mato Grosso do Sul,Centro Oeste,2008,20679,54191,101455748,265930479,,
Mato Grosso,Centro Oeste,2008,31163,65683,152821588,322146377,,
Goiás,Centro Oeste,2008,48496,103538,237927481,507971493,,
Distrito Federal,Centro Oeste,2008,16841,32646,82470526,160004550,,
Rondônia,Norte,2009,17762,31007,98073624,171289068,,
Acre,Norte,2009,10880,15463,59930861,85262129,,
Amazonas,Norte,2009,36928,65470,204185156,362067380,,
Roraíma,Norte,2009,4783,7186,26441162,39726875,,
Pará,Norte,2009,71780,139529,396891556,771624204,,
Amapá,Norte,2009,7321,15754,40451126,87094526,,
Tocantins,Norte,2009,15320,29664,84647243,163954306,,
Maranhão,Nordeste,2009,70899,148536,391786722,821145764,,
Piauí,Nordeste,2009,27946,41803,154431114,231019156,,
Ceará,Nordeste,2009,91256,153263,503631165,846237208,,
Rio Grande do Norte,Nordeste,2009,33865,48513,186775311,267670253,,
Paraíba,Nordeste,2009,44889,70401,247592992,388392727,,
Pernambuco,Nordeste,2009,122104,213839,673702591,1180640402,,
Alagoas,Nordeste,2009,51122,82340,282505347,455005003,,
Sergipe,Nordeste,2009,23618,35928,130204287,198130632,,
Bahia,Nordeste,2009,149369,292940,824790662,1618170645,,
Minas Gerais,Sudeste,2009,167047,303735,921496704,1676655689,,
Espírito Santo,Sudeste,2009,23785,44775,131215449,247143531,,
Rio de Janeiro,Sudeste,2009,71293,204473,393829424,1130050265,,
